slug,language,url
home,es,https://www.4milmillones.org/
adaptive-radiation,es,https://www.4milmillones.org/adaptive-radiation
adn,es,https://www.4milmillones.org/adn
aegyptopithecus-zeuxis,es,https://www.4milmillones.org/aegyptopithecus-zeuxis
afarensis,es,https://www.4milmillones.org/afarensis
africanus,es,https://www.4milmillones.org/africanus
al-jahiz,es,https://www.4milmillones.org/al-jahiz
al-jahiz-english,en,https://www.4milmillones.org/al-jahiz-english
alemseged,es,https://www.4milmillones.org/alemseged
anatomical-evidence-for-evolution,es,https://www.4milmillones.org/anatomical-evidence-for-evolution
ancestros,es,https://www.4milmillones.org/ancestros
anning,es,https://www.4milmillones.org/anning
anomalocaris,es,https://www.4milmillones.org/anomalocaris
arbol,es,https://www.4milmillones.org/arbol
archaeopteryx-lithographica,es,https://www.4milmillones.org/archaeopteryx-lithographica
authors,en,https://www.4milmillones.org/authors
autores,es,https://www.4milmillones.org/autores
bacterias,es,https://www.4milmillones.org/bacterias
bebes,es,https://www.4milmillones.org/bebes
black,es,https://www.4milmillones.org/black
blandos,es,https://www.4milmillones.org/blandos
brunet,es,https://www.4milmillones.org/brunet
cambios,es,https://www.4milmillones.org/cambios
caracteristicas,es,https://www.4milmillones.org/caracteristicas
celulas,es,https://www.4milmillones.org/celulas
chambers,es,https://www.4milmillones.org/chambers
characters,en,https://www.4milmillones.org/characters
charlesdarwin,es,https://www.4milmillones.org/charlesdarwin
charnia,es,https://www.4milmillones.org/charnia
cinco,es,https://www.4milmillones.org/cinco
como-se-forma-un-fosil,es,https://www.4milmillones.org/como-se-forma-un-fosil
creation-myths,en,https://www.4milmillones.org/creation-myths
cuvier,es,https://www.4milmillones.org/cuvier
cuvier-english,en,https://www.4milmillones.org/cuvier-english
dart,es,https://www.4milmillones.org/dart
darwin,es,https://www.4milmillones.org/darwin
darwin-english,en,https://www.4milmillones.org/darwin-english
dawkins1,es,https://www.4milmillones.org/dawkins1
dawkins2,es,https://www.4milmillones.org/dawkins2
denisova,es,https://www.4milmillones.org/denisova
deriva-genetica,es,https://www.4milmillones.org/deriva-genetica
dewaal,es,https://www.4milmillones.org/dewaal
diamond1,es,https://www.4milmillones.org/diamond1
diamond2,es,https://www.4milmillones.org/diamond2
diamond3,es,https://www.4milmillones.org/diamond3
distingue,es,https://www.4milmillones.org/distingue
douglasadams,es,https://www.4milmillones.org/douglasadams
dubois,es,https://www.4milmillones.org/dubois
edad,es,https://www.4milmillones.org/edad
edaduniverso,es,https://www.4milmillones.org/edaduniverso
enamorarse,es,https://www.4milmillones.org/enamorarse
english,en,https://www.4milmillones.org/english
eras,es,https://www.4milmillones.org/eras
erectus,es,https://www.4milmillones.org/erectus
errores,es,https://www.4milmillones.org/errores
escasos,es,https://www.4milmillones.org/escasos
especiacion,es,https://www.4milmillones.org/especiacion
estromatolitos,es,https://www.4milmillones.org/estromatolitos
evidence-for-evolution,en,https://www.4milmillones.org/evidence-for-evolution
evidencias-anatomicas,es,https://www.4milmillones.org/evidencias-anatomicas
evidencias-geograficas,es,https://www.4milmillones.org/evidencias-geograficas
evidencias-moleculares,es,https://www.4milmillones.org/evidencias-moleculares
evidencias-para-la-evolucion,es,https://www.4milmillones.org/evidencias-para-la-evolucion
evolucion-del-perro,es,https://www.4milmillones.org/evolucion-del-perro
evolucion-primates,es,https://www.4milmillones.org/evolucion-primates
evolucion-sucediendo-hoy,es,https://www.4milmillones.org/evolucion-sucediendo-hoy
evolution-of-dogs,en,https://www.4milmillones.org/evolution-of-dogs
evolution-still-happening,en,https://www.4milmillones.org/evolution-still-happening
extinciones,es,https://www.4milmillones.org/extinciones
fechas,es,https://www.4milmillones.org/fechas
finlayson,es,https://www.4milmillones.org/finlayson
floresiensis,es,https://www.4milmillones.org/floresiensis
flujo-genetico,es,https://www.4milmillones.org/flujo-genetico
fosiles,es,https://www.4milmillones.org/fosiles
fosiles-transicionales,es,https://www.4milmillones.org/fosiles-transicionales
fossey,es,https://www.4milmillones.org/fossey
funcionamiento,es,https://www.4milmillones.org/funcionamiento
galaxias,es,https://www.4milmillones.org/galaxias
galdikas,es,https://www.4milmillones.org/galdikas
gene-flow,en,https://www.4milmillones.org/gene-flow
genetic-drift,en,https://www.4milmillones.org/genetic-drift
gente-niega-evolucin,es,https://www.4milmillones.org/gente-niega-evolucin
geographical-evidence-for-evolution,en,https://www.4milmillones.org/geographical-evidence-for-evolution
geological-evidence,en,https://www.4milmillones.org/geological-evidence
glaciacion,es,https://www.4milmillones.org/glaciacion
glaciacion-1,es,https://www.4milmillones.org/glaciacion-1
goodall,es,https://www.4milmillones.org/goodall
gould,es,https://www.4milmillones.org/gould
habilis,es,https://www.4milmillones.org/habilis
haeckel,es,https://www.4milmillones.org/haeckel
hamilton,es,https://www.4milmillones.org/hamilton
happens,en,https://www.4milmillones.org/happens
harari,es,https://www.4milmillones.org/harari
hechos,es,https://www.4milmillones.org/hechos
heredabilidad,es,https://www.4milmillones.org/heredabilidad
hereditability,en,https://www.4milmillones.org/hereditability
herramientas,es,https://www.4milmillones.org/herramientas
hominidos,es,https://www.4milmillones.org/hominidos
homo,es,https://www.4milmillones.org/homo
homo-sapiens,es,https://www.4milmillones.org/homo-sapiens
humboldt,es,https://www.4milmillones.org/humboldt
huxley,es,https://www.4milmillones.org/huxley
inicio,es,https://www.4milmillones.org/inicio
jerrycoyne,es,https://www.4milmillones.org/jerrycoyne
johanson,es,https://www.4milmillones.org/johanson
lamarck,es,https://www.4milmillones.org/lamarck
lamarck-english,en,https://www.4milmillones.org/lamarck-english
lane,es,https://www.4milmillones.org/lane
leclerc,es,https://www.4milmillones.org/leclerc
leclerc-english,en,https://www.4milmillones.org/leclerc-english
lenguaje,es,https://www.4milmillones.org/lenguaje
libros-recomendados,es,https://www.4milmillones.org/libros-recomendados
linne,es,https://www.4milmillones.org/linne
linne-english,en,https://www.4milmillones.org/linne-english
louisleakey,es,https://www.4milmillones.org/louisleakey
lyell,es,https://www.4milmillones.org/lyell
lysenko,es,https://www.4milmillones.org/lysenko
maillet,es,https://www.4milmillones.org/maillet
maillet-english,en,https://www.4milmillones.org/maillet-english
malthus,es,https://www.4milmillones.org/malthus
marcus,es,https://www.4milmillones.org/marcus
margulis,es,https://www.4milmillones.org/margulis
maryleakey,es,https://www.4milmillones.org/maryleakey
meaveleakey,es,https://www.4milmillones.org/meaveleakey
mechanisms,en,https://www.4milmillones.org/mechanisms
medios,es,https://www.4milmillones.org/medios
mendel,es,https://www.4milmillones.org/mendel
mendel-english,en,https://www.4milmillones.org/mendel-english
miller,es,https://www.4milmillones.org/miller
mitos-creacionistas,es,https://www.4milmillones.org/mitos-creacionistas
mlodinov,es,https://www.4milmillones.org/mlodinov
molecular-evidence-for-evolution,en,https://www.4milmillones.org/molecular-evidence-for-evolution
mutaciones,es,https://www.4milmillones.org/mutaciones
mutations,en,https://www.4milmillones.org/mutations
nacido,es,https://www.4milmillones.org/nacido
natural-selection,en,https://www.4milmillones.org/natural-selection
neandertal,es,https://www.4milmillones.org/neandertal
neodarwinistas,es,https://www.4milmillones.org/neodarwinistas
neodarwinists-english,en,https://www.4milmillones.org/neodarwinists-english
opabinia,es,https://www.4milmillones.org/opabinia
oparin,es,https://www.4milmillones.org/oparin
oreopithecus,es,https://www.4milmillones.org/oreopithecus
orrorin,es,https://www.4milmillones.org/orrorin
oscuro,es,https://www.4milmillones.org/oscuro
parkinson,es,https://www.4milmillones.org/parkinson
pelo,es,https://www.4milmillones.org/pelo
personajes,es,https://www.4milmillones.org/personajes
pickfordsenut,es,https://www.4milmillones.org/pickfordsenut
pinker,es,https://www.4milmillones.org/pinker
preguntas-frecuentes,es,https://www.4milmillones.org/preguntas-frecuentes
primates,en,https://www.4milmillones.org/primates
proconsul,es,https://www.4milmillones.org/proconsul
promiscuo,es,https://www.4milmillones.org/promiscuo
que-es-evolucion,es,https://www.4milmillones.org/que-es-evolucion
radiacion-adaptativa,es,https://www.4milmillones.org/radiacion-adaptativa
ramidus,es,https://www.4milmillones.org/ramidus
recuperarse,es,https://www.4milmillones.org/recuperarse
richardleakey,es,https://www.4milmillones.org/richardleakey
sagan,es,https://www.4milmillones.org/sagan
sapolsky,es,https://www.4milmillones.org/sapolsky
seleccion-natural,es,https://www.4milmillones.org/seleccion-natural
seleccion-sexual,es,https://www.4milmillones.org/seleccion-sexual
ser-humano,es,https://www.4milmillones.org/ser-humano
sexual-selection,en,https://www.4milmillones.org/sexual-selection
sexual2,es,https://www.4milmillones.org/sexual2
speciation,en,https://www.4milmillones.org/speciation
sucede,es,https://www.4milmillones.org/sucede
sykes,es,https://www.4milmillones.org/sykes
tiempo,es,https://www.4milmillones.org/tiempo
tiktaalik,es,https://www.4milmillones.org/tiktaalik
time,en,https://www.4milmillones.org/time
variabilidad,es,https://www.4milmillones.org/variabilidad
variability,en,https://www.4milmillones.org/variability
wallace,es,https://www.4milmillones.org/wallace
wallace-english,en,https://www.4milmillones.org/wallace-english
wegener,es,https://www.4milmillones.org/wegener
wegener-english,en,https://www.4milmillones.org/wegener-english
what-is-evolution,en,https://www.4milmillones.org/what-is-evolution
white,es,https://www.4milmillones.org/white
wiwaxia,es,https://www.4milmillones.org/wiwaxia
